Disposition Score,Not Transit-Like FPF,Stellar Eclipse FPF,Centroid Offset FPF,Ephemeris Contamination FPF,Impact Parameter Lower,Planetary Radius,Stellar Effective Temperature,Stellar Surface Gravity Lower,Disposition Using Kepler Data
0.0,1,0,0,0,-0.031,5.06,6980.0,-0.088,1
0.0,0,1,0,0,-0.007,13.66,6224.0,-0.192,1
0.0,0,0,0,0,-0.06,34.39,4813.0,-0.117,0
1.0,0,0,0,0,-0.19,133.56,8523.0,-0.071,0
0.0,0,1,1,0,-0.167,23.61,5582.0,-0.15,1
0.0,0,0,1,1,-0.178,27.85,5758.0,-0.182,1
0.423854563625061,0,0,0,0,-0.023,0.97,6022.857443983495,-0.168,1
0.0,0,0,1,0,-0.107,23.35,5948.0,-0.2,1
0.0,0,1,0,0,-0.707,403.59,8090.0,-0.132,1
1.0,0,0,0,0,-0.057,7.67,5873.0,-0.12,0
0.0,0,1,1,0,-0.216,1.25,4768.0,-0.06,1
0.0,0,0,1,0,-0.497,7.47,5772.0,-0.08,1
1.0,0,0,0,0,-0.097,2.47,6049.0,-0.114,0
0.989,0,0,0,0,-0.472,1.62,6049.0,-0.114,0
0.0,1,0,1,0,-0.178,17.12,5901.0,-0.204,1
1.0,0,0,0,0,-0.556,13.92,4941.0,-0.105,0
0.0,1,0,1,1,-0.226,3.22,6215.0,-0.098,1
0.0,0,0,1,1,-0.476,1.19,6253.0,-0.203,1
0.0,0,0,0,0,-0.1239,2.99,4500.0,-0.028,0
0.994,0,0,0,0,-0.283,1.78,5676.0,-0.087,0
0.997,0,0,0,0,-0.238,1.55,5676.0,-0.087,0
0.998,0,0,0,0,-0.165,8.78,3807.0,-0.08,0
0.632,0,0,0,0,-0.042,8.25,7221.0,-0.048,0
0.0,0,1,1,1,-0.019,7.48,6013.0,-0.192,1
0.0,0,0,0,0,-0.005,2.78,7221.0,-0.048,0
0.999,0,0,0,0,-0.441,2.52,6247.0,-0.027,0
1.0,0,0,0,0,-0.644,1.69,6202.0,-0.027,0
0.0,0,1,0,0,-0.013,78.54,7240.0,-0.203,1
0.0,0,0,1,0,-0.09,14.71,3995.0,-0.044,1
0.0,0,1,1,1,-0.113,1.45,5791.0,-0.152,1
1.0,0,0,0,0,-0.398,1.41,5041.0,-0.048,0
1.0,0,0,0,0,-0.503,1.36,5041.0,-0.048,0
1.0,0,0,0,0,-0.389,2.01,6061.0,-0.2,0
0.0,0,1,1,1,-0.159,67.37,6266.0,-0.148,1
0.993,0,0,0,0,-0.136,5.88,4941.0,-0.105,0
1.0,0,0,0,0,-0.448,7.62,4941.0,-0.105,0
0.5970209676432415,1,0,0,0,-0.676,1.17,6934.942390127993,-0.21,1
0.995,0,0,0,0,-0.314,1.59,5982.0,-0.216,0
0.0,0,0,1,1,-0.457,1.81,5699.0,-0.187,1
0.752,0,0,0,0,-0.008,5.24,6276.0,-0.203,0
0.0,0,1,0,0,-0.656,25.89,5534.0,-0.112,1
0.0,0,1,0,0,-0.007,16.91,6715.0,-0.224,1
0.0,0,1,1,1,-0.101,56.44,5751.0,-0.09,1
0.0,0,1,0,0,-0.003,11.36,5114.0,-0.063,1
0.0,1,0,0,1,-0.093,33.65,5555.0,-0.18,1
1.0,0,1,0,0,-0.137,430.99,4283.0,-0.137,1
0.0,1,0,0,0,-0.11,71.39,6362.0,-0.075,1
0.0,0,1,0,0,-0.253,2436.69,3598.0,-0.211,1
0.0,0,1,0,0,-0.188,68.02,8214.0,-0.145,1
0.8973916193046227,1,0,0,0,-0.0298,2.98,5066.0,-0.008,1
0.0,0,1,1,1,0.885453216636764,1.56,4506.0,-0.028,1
0.0,0,0,0,0,-0.451,12.1,6038.0,-0.12,0
1.0,0,0,0,0,-0.202,2.54,5839.0,-0.104,0
0.945,0,0,0,0,-0.077,1.67,5839.0,-0.104,0
0.765,0,0,0,0,-0.027,2.39,5839.0,-0.104,0
0.815,0,0,0,0,-0.443,2.39,5839.0,-0.104,0
0.999,0,0,0,0,-0.286,1.54,5553.0,-0.1,0
0.931,0,0,0,0,-0.061,2.33,6085.0,-0.202,0
1.0,0,0,0,0,-0.014,2.48,5952.0,-0.12,0
0.912,0,0,0,0,-0.057,2.73,5952.0,-0.12,0
0.0,0,0,1,1,-0.125,25.2,5766.0,-0.181,1
0.989,0,0,0,0,-0.091,2.03,5765.0,-0.112,0
0.0,0,1,1,0,-0.021,8.96,6122.0,-0.192,1
0.0,0,1,1,1,-0.004,5.09,5778.0,-0.17,1
0.0,0,1,1,1,-0.128,19.0,3920.0,-0.033,1
0.0,0,1,1,0,-0.104,97.27,6261.0,-0.108,1
0.0,0,1,1,0,-0.161,34.14,5587.0,-0.165,1
0.994,0,0,0,0,-0.065,7.14,6198.0,-0.117,0
0.5724563717799502,0,0,0,0,-0.0388,7.41,7443.0,-0.414,1
0.711,0,0,0,0,-0.374,2.29,5296.0,-0.085,0
0.0,0,0,1,0,-0.242,1.42,5346.0,-0.18,1
1.0,0,0,0,0,-0.377,1.92,5251.0,-0.048,0
0.881,0,0,0,0,-0.015,1.75,5251.0,-0.048,0
1.0,0,0,0,0,-0.271,1.67,5873.0,-0.12,0
0.5908041933342357,1,0,0,0,-0.4661,15.33,5234.0,-0.114,1
0.0,0,1,1,1,-0.102,38.6,5589.0,-0.2,1
