Disposition Score,Not Transit-Like FPF,Stellar Eclipse FPF,Centroid Offset FPF,Ephemeris Contamination FPF,Orbital Period,Impact Parameter,Transit Duration Upper,Transit Duration Lower ,Planetary Radius Lower,Insolation Flux,TCE Delivery,Stellar Effective Temperature,Stellar Effective Temperature Lower,Stellar Surface Gravity,Stellar Surface Gravity Upper ,Stellar Radius,Stellar Radius Lower,Kepler-band,Disposition Using Kepler Data
1.0,0,0,0,0,2.090811305,0.746,0.106,-0.106,-0.32,1718.04,0.0,5739.0,-103.0,4.191,0.162,1.384,-0.266,15.084,0
0.995,0,0,0,0,3.180027898,0.196,0.0558,-0.0558,-0.05,1066.86,0.0,5847.0,-75.0,4.191,0.02,1.402,-0.046,12.487,0
0.989,0,0,0,0,50.4467417,0.379,0.247,-0.247,-0.51,24.64,0.0,5739.0,-103.0,4.191,0.162,1.384,-0.266,15.084,0
1.0,0,0,0,0,11.76307164,0.048,0.05,-0.05,-0.08,33.99,0.0,4959.0,-98.0,4.603,0.011,0.756,-0.027,15.208,0
0.878,0,0,0,0,56.2279271,0.7,0.134,-0.134,-0.09,4.22,0.0,4959.0,0.0,4.603,0.011,0.756,-0.027,15.208,0
0.0,0,1,1,1,2.384052875,1.178,0.0817,-0.0817,-1.6,244.87,0.0,4794.0,-144.0,4.58,0.063,0.701,-0.066,15.836,1
1.0,0,0,0,0,7.953547,0.3,0.0595,-0.0595,-0.14,55.37,0.0,4768.0,-85.0,4.536,0.056,0.779,-0.049,15.66,0
1.0,0,0,0,0,4.14451656,0.004,0.0984,-0.0984,-0.09,132.08,0.0,4768.0,-85.0,4.536,0.056,0.779,-0.049,15.66,0
0.0,0,1,0,0,4.859386384,1.259,0.0122,-0.0122,-4.27,364.23,0.0,6072.0,-232.0,4.47,0.056,0.988,-0.11,15.311,1
0.999,0,0,0,0,10.52629458,0.644,0.0257,-0.0257,-0.8,61.16,0.0,5386.0,-159.0,4.553,0.056,0.793,-0.077,15.305,0
1.0,0,0,0,0,4.583520948,0.045,0.0321,-0.0321,-0.53,274.98,0.0,5815.0,-175.0,4.54,0.038,0.877,-0.087,15.287,0
0.876,0,0,0,0,3.76181843,0.926,0.0901,-0.0901,-0.26,372.62,0.0,5653.0,-171.0,4.472,0.062,0.949,-0.093,15.257,0
1.0,0,0,0,0,8.20396958,0.823,0.0529,-0.0529,-0.3,71.5,0.0,5015.0,-149.0,4.499,0.09,0.826,-0.083,15.376,0
1.0,0,0,0,0,14.49645186,0.97,0.305,-0.305,-0.3,33.48,0.0,5015.0,-149.0,4.499,0.09,0.826,-0.083,15.376,0
1.0,0,0,0,0,6.54626149,0.644,0.111,-0.111,-0.08,101.78,0.0,5251.0,-105.0,4.581,0.01,0.817,-0.029,15.855,0
1.0,0,0,0,0,12.71809866,0.427,0.0562,-0.0562,-0.22,23.6,0.0,4702.0,-142.0,4.592,0.058,0.686,-0.067,15.389,0
0.999,0,0,0,0,36.06588163,0.26,0.0634,-0.0634,-0.26,5.88,0.0,4702.0,-142.0,4.592,0.058,0.686,-0.067,15.389,0
1.0,0,0,0,0,4.190425659,0.458,0.0224,-0.0224,-0.82,547.9,0.0,6073.0,-232.0,4.392,0.072,1.135,-0.15,15.27,0
1.0,0,0,0,0,3.709870784,0.023,0.0265,-0.0265,-0.28,415.1,0.0,5727.0,-85.0,4.463,0.04,0.978,-0.062,15.581,0
1.0,0,0,0,0,16.3297527,0.791,0.112,-0.112,-0.47,66.08,0.0,5878.0,-193.0,4.444,0.084,0.987,-0.125,15.447,0
0.985,0,0,0,0,27.80756622,0.782,0.00935,-0.00935,-1.21,22.24,0.0,5862.0,-177.0,4.584,0.044,0.785,-0.069,15.482,0
0.942,0,0,0,0,80.8723469,0.527,0.13,-0.13,-1.52,9.88,0.0,5510.0,-71.0,4.222,0.195,1.238,-0.247,15.201,0
